SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;ISSUEDATE;EMITENTNAME;INN;LOTSIZE
KZOS;ОргСинт ао;"ПАО ""Органический синтез"" ао";Акции обыкновенные;RU0009089825;1-02-55245-D;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;05.12.2011;"Казанское публичное акционерное общество ""Органический синтез""";1658008723;10
KZOSP;ОргСинт ап;"ПАО ""Органический синтез"" ап";Акции привилегированные;RU0006753456;2-02-55245-D;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;05.12.2011;"Казанское публичное акционерное общество ""Органический синтез""";1658008723;10
LIFE;iФармсинтз;Фармсинтез ПАО ао;Акции обыкновенные;RU000A0JR514;1-02-09669-J;3;5;RUB;TQBR;Т+: Акции и ДР - безадрес.;24.11.2010;"Публичное акционерное общество ""Фармсинтез""";7801075160;100
LKOH;ЛУКОЙЛ;НК ЛУКОЙЛ (ПАО) - ао;Акции обыкновенные;RU0009024277;1-01-00077-A;1;0,025;RUB;TQBR;Т+: Акции и ДР - безадрес.;20.08.2003;"Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""";7708004767;1
LNTA;Лента др;Лента ПиЭлСи др;DR на иностранные акции;US52634T2006;;1;0;USD;TQBR;Т+: Акции и ДР - безадрес.;06.03.2014;Deutsche Bank Trust Company Americas (Лента ПиЭлСи);;1
LNZL;Лензолото;"""Лензолото"" ПАО ао";Акции обыкновенные;RU000A0JP1N2;1-02-40433-N;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.12.2008;"Ленское золотодобывающее публичное акционерное общество ""Лензолото""";3802000096;1
LNZLP;Лензол. ап;"""Лензолото"" ПАО ап";Акции привилегированные;RU000A0JP1P7;2-02-40433-N;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;18.06.2009;"Ленское золотодобывающее публичное акционерное общество ""Лензолото""";3802000096;1
LPSB;ЛЭСК ао;Липецкая энергосбыт.ком.ОАО ао;Акции обыкновенные;RU000A0D8MR7;1-01-65097-D;3;0,22;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.08.2005;"Открытое акционерное общество ""Липецкая энергосбытовая компания""";4822001244;100
LSNG;РСетиЛЭ;Россети Ленэнерго ПАО-ао;Акции обыкновенные;RU0009034490;1-01-00073-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.07.2003;"Публичное акционерное общество ""Россети Ленэнерго""";7803002209;100
LSNGP;РСетиЛЭ-п;Россети Ленэнерго ПАО-ап;Акции привилегированные;RU0009092134;2-01-00073-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.07.2003;"Публичное акционерное общество ""Россети Ленэнерго""";7803002209;10
LSRG;ЛСР ао;Группа ЛСР ПАО ао;Акции обыкновенные;RU000A0JPFP0;1-01-55234-E;1;0,25;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.11.2007;"Публичное акционерное общество ""Группа ЛСР""";7838360491;1
LVHK;Левенгук;Левенгук ОАО ао;Акции обыкновенные;RU000A0JT7Y2;1-01-04329-D;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.11.2012;"Открытое акционерное общество ""Левенгук""";7839462305;100
MA-RM;Master  A;Mastercard Inc. class A;Иностранные акции;US57636Q1040;;3;0,0001;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;Mastercard Incorporated (Мастеркард Инкорпорейтед);4915;1
MAGE;МагадЭн ао;"""Магаданэнерго"" ПАО ао";Акции обыкновенные;RU0006758919;1-01-00254-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.11.2010;"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""";4909047148;1000
MAGEP;МагадЭн ап;"""Магаданэнерго"" ПАО ап";Акции привилегированные;RU0006758893;2-01-00254-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.11.2010;"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""";4909047148;1000
MAGN;ММК;"""Магнитогорск.мет.комб"" ПАО ао";Акции обыкновенные;RU0009084396;1-03-00078-A;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.12.2005;"Публичное акционерное общество ""Магнитогорский металлургический комбинат""";7414003633;100
MAIL;MAIL-гдр;ГДР Mail.ru Gr Limited ORD SHS;DR на иностранные акции;US5603172082;;1;0,01;USD;TQBR;Т+: Акции и ДР - безадрес.;02.07.2020;Citibank N.A.(Mail.ru Group Limited);1000003804;1
MCD-RM;McDonald's;McDonald's Corporation;Иностранные акции;US5801351017;;3;0,01;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;McDonald's Corp;;1
MFGS;Мегион-ао;"ао ""Славнефть-Мегионнефтегаз""";Акции обыкновенные;RU0009011126;1-03-00149-A;3;25;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""";8605003932;10
MFGSP;Мегион-ап;ап Мегионнефтегаз;Акции привилегированные;RU0009011134;2-03-00149-A;3;25;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""";8605003932;10
MFON;МегаФон ао;МегаФон ПАО ао;Акции обыкновенные;RU000A0JS942;1-03-00822-J;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.11.2012;"Публичное акционерное общество ""МегаФон""";7812014560;1
MGNT;Магнит ао;"""Магнит"" ПАО ао";Акции обыкновенные;RU000A0JKQU8;1-01-60525-P;1;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;24.04.2006;"Публичное акционерное общество ""Магнит""";2309085638;1
MGNZ;СМЗ-ао;Соликамский магн.завод(ОАО)ао;Акции обыкновенные;RU0009100911;1-01-00283-A;3;0,25;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.10.2008;"Открытое акционерное общество ""Соликамский магниевый завод""";5919470019;1
MGTS;МГТС-5ао;"ПАО ""МГТС"" ао (5 в)";Акции обыкновенные;RU0009036461;1-05-00083-A;3;40;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Московская городская телефонная сеть""";7710016640;1
MGTSP;МГТС-4ап;"ПАО ""МГТС"" ап (4 в)";Акции привилегированные;RU0009036479;2-04-00083-A;3;40;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Московская городская телефонная сеть""";7710016640;1
MISB;ТНСэнМарЭл;ТНС энерго Марий Эл ПАО ао;Акции обыкновенные;RU000A0D8K33;1-01-50086-A;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.08.2005;"Публичное акционерное общество ""ТНС энерго Марий Эл""";1215099739;100
MISBP;ТНСэМаЭл-п;ТНС энерго Марий Эл ПАО ап;Акции привилегированные;RU000A0D8K41;2-01-50086-A;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.08.2005;"Публичное акционерное общество ""ТНС энерго Марий Эл""";1215099739;100
MOBB;МосОблБанк;Московский областной банк ПАО;Акции обыкновенные;RU000A0JS7V9;10101751B;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;20.07.2012;Публичное акционерное общество МОСКОВСКИЙ ОБЛАСТНОЙ БАНК;7750005588;100
MOEX;МосБиржа;ПАО Московская Биржа;Акции обыкновенные;RU000A0JR4A1;1-05-08443-H;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;04.02.2013;"Публичное акционерное общество ""Московская Биржа ММВБ-РТС""";7702077840;10
MORI;Морион ао;Морион ПАО ао;Акции обыкновенные;RU0009092431;1-01-30493-D;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Публичное акционерное общество ""Морион""";5905000038;1000
MRKC;МРСК Центр;"""МРСК Центра"" ПАО ао";Акции обыкновенные;RU000A0JPPL8;1-01-10214-A;2;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;21.05.2008;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра""";6901067107;1000
MRKK;Россети СК;Россети Сев. Кавказ ао;Акции обыкновенные;RU000A0JPPQ7;1-01-34747-E;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;19.06.2008;"Публичное акционерное общество ""Россети Северный Кавказ""";2632082033;10
MRKP;МРСК ЦП;МРСК Центр. и Приволж. ао;Акции обыкновенные;RU000A0JPN96;1-01-12665-E;2;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;07.04.2008;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра и Приволжья""";5260200603;10000
MRKS;МРСКСиб;МРСК Сибири ао;Акции обыкновенные;RU000A0JPPF0;1-01-12044-F;2;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;05.06.2008;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Сибири""";2460069527;10000
MRKU;МРСК Ур;МРСК Урала (ОАО) ао;Акции обыкновенные;RU000A0JPPT1;1-01-32501-D;2;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;18.06.2008;"Открытое акционерное общество ""Межрегиональная распределительная сетевая компания Урала""";6671163413;10000
MRKV;МРСКВол;МРСК Волги ао;Акции обыкновенные;RU000A0JPPN4;1-01-04247-E;2;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;23.05.2008;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Волги""";6450925977;10000
MRKY;РоссЮг ао;Россети Юг  (ПАО) ао;Акции обыкновенные;RU000A0JPPG8;1-01-34956-E;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;22.08.2008;"Публичное акционерное общество ""Россети Юг""";6164266561;10000
MRKZ;МРСК СЗ;МРСК Северо-Запада ао;Акции обыкновенные;RU000A0JPPB9;1-01-03347-D;2;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;29.05.2008;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Северо-Запада""";7802312751;10000
MRSB;МордЭнСб;Мордовск.энергсбыт.комп.ПАО ао;Акции обыкновенные;RU000A0D9AJ7;1-01-55055-E;3;0,0136;RUB;TQBR;Т+: Акции и ДР - безадрес.;01.09.2005;"Публичное акционерное общество ""Мордовская энергосбытовая компания""";1326192645;10000
MSFT-RM;Microsoft;Microsoft Corporation;Иностранные акции;US5949181045;;3;1,00E-05;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;Microsoft Corp;;1
MSNG;#ИМЯ?;МосЭнерго акции обыкн.;Акции обыкновенные;RU0008958863;1-01-00085-A;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество энергетики и электрификации ""Мосэнерго""";7705035012;1000
MSRS;РСетиМР ао;ПАО Россети Моск.рег. ао;Акции обыкновенные;RU000A0ET7Y7;1-01-65116-D;2;0,5;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.02.2006;"Публичное акционерное общество ""Россети Московский регион""";5036065113;1000
MSTT;Мостотрест;"ПАО ""МОСТОТРЕСТ"" ао";Акции обыкновенные;RU0009177331;1-03-02472-A;2;0,14;RUB;TQBR;Т+: Акции и ДР - безадрес.;03.11.2010;"Публичное акционерное общество ""МОСТОТРЕСТ""";7701045732;10
MTLR;Мечел ао;Мечел ПАО ао;Акции обыкновенные;RU000A0DKXV5;1-01-55005-E;1;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.12.2008;"Публичное акционерное общество ""Мечел""";7703370008;1
MTLRP;Мечел ап;Мечел ПАО ап;Акции привилегированные;RU000A0JPV70;2-01-55005-E;1;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;21.04.2011;"Публичное акционерное общество ""Мечел""";7703370008;10
MTSS;МТС-ао;Мобильные ТелеСистемы ПАО ао;Акции обыкновенные;RU0007775219;1-01-04715-A;1;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.02.2004;"Публичное акционерное общество ""Мобильные ТелеСистемы""";7740000076;10
MU-RM;Micron;Micron Technology, Inc.;Иностранные акции;US5951121038;;3;0,1;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;Micron Technology, Inc. (Микрон Текноложди, Инк.);4916;1
MVID;М.видео;"""М.видео"" ПАО ао";Акции обыкновенные;RU000A0JPGA0;1-02-11700-A;1;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;01.11.2007;"Публичное акционерное общество ""М.видео""";7707602010;10
NAUK;iНПОНаука;НПО Наука ао;Акции обыкновенные;RU000A0JRPX9;1-01-04440-A;3;0,2;RUB;TQBR;Т+: Акции и ДР - безадрес.;15.12.2011;"Публичное акционерное общество Научно-производственное объединение ""Наука""";7714005350;10
NFAZ;Нефтекамск;Нефтекамский автозавод ПАО ао;Акции обыкновенные;RU0009115604;1-01-30520-D;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.09.2011;"Публичное акционерное общество ""Нефтекамский автозавод""";264004103;10
NFLX-RM;Netflix;Netflix, Inc.;Иностранные акции;US64110L1061;;3;0,001;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;Netflix, Inc. (Нетфликс, Инк.);4917;1
NKHP;НКХП ао;НКХП ПАО ао;Акции обыкновенные;RU000A0BLWD7;1-03-35684-E;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;17.11.2015;"Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов""";2315014748;10
NKNC;НКНХ ао;"""Нижнекамскнефтехим"" ПАО ао";Акции обыкновенные;RU0009100507;1-02-00096-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;04.04.2008;"Публичное Акционерное Общество ""Нижнекамскнефтехим""";1651000010;10
NKNCP;НКНХ ап;"""Нижнекамскнефтехим"" ПАО ап";Акции привилегированные;RU0006765096;2-02-00096-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;04.04.2008;"Публичное Акционерное Общество ""Нижнекамскнефтехим""";1651000010;10
NKSH;Нижкамшина;Нижнекамскшина ПАО ао;Акции обыкновенные;RU0009100515;1-02-55032-D;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Публичное акционерное общество ""Нижнекамскшина""";1651000027;100
NLMK;НЛМК ао;"ПАО ""НЛМК"" ао";Акции обыкновенные;RU0009046452;1-01-00102-A;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;06.04.2006;"Публичное акционерное общество ""Новолипецкий металлургический комбинат""";4823006703;10
NMTP;НМТП ао;НМТП (ПАО) ао;Акции обыкновенные;RU0009084446;1-01-30251-E;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.11.2007;"Публичное акционерное общество ""Новороссийский морской торговый порт""";2315004404;100
NNSB;ТНСэнНН ао;ТНС энерго Нижний Новг.ПАО ао;Акции обыкновенные;RU000A0ET5A1;1-01-55072-E;3;11,88;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.11.2005;"Публичное акционерное общество ""ТНС энерго Нижний Новгород""";5260148520;1
NNSBP;ТНСэнНН ап;ТНС энерго Нижний Новг.ПАО ап;Акции привилегированные;RU000A0ET5B9;2-01-55072-E;3;11,88;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.11.2005;"Публичное акционерное общество ""ТНС энерго Нижний Новгород""";5260148520;1
NPOF;Физика ао;"ОАО ""НПО Физика"" ао";Акции обыкновенные;RU000A0JQ5X1;1-02-05481-A;3;120;RUB;TQBR;Т+: Акции и ДР - безадрес.;05.12.2011;"Открытое акционерное общество ""Научно-производственное объединение ""Физика""";7726019607;1
NSVZ;НаукаСвяз;Наука-Связь ПАО ао;Акции обыкновенные;RU000A0JQLB6;1-01-12689-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;13.12.2011;"Публичное акционерное общество ""Наука-Связь""";7714716995;10
NVDA-RM;NVIDIA;NVIDIA Corporation;Иностранные акции;US67066G1040;;3;0,001;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;NVIDIA Corporation;;1
NVTK;Новатэк ао;"ПАО ""НОВАТЭК"" ао";Акции обыкновенные;RU000A0DKVS5;1-02-00268-E;1;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;18.08.2006;"публичное акционерное общество ""НОВАТЭК""";6316031581;1
OBUV;ОР ао;"ПАО ""ОР"" ао";Акции обыкновенные;RU000A0JXKG3;1-01-50161-A;2;100;RUB;TQBR;Т+: Акции и ДР - безадрес.;20.10.2017;"Публичное акционерное общество ""ОР""";5410779580;10
OGKB;ОГК-2 ао;ОГК-2 ПАО ао;Акции обыкновенные;RU000A0JNG55;1-02-65105-D;2;0,3627;RUB;TQBR;Т+: Акции и ДР - безадрес.;22.06.2007;"Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии""";2607018122;1000
OMZZP;ОМЗ-ап;"ап""Объединён.  маш. заводы""";Акции привилегированные;RU0009090559;2-01-30174-D;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.09.2004;Публичное акционерное общество Объединенные машиностроительные заводы (Группа Уралмаш-Ижора);6663059899;1
PAZA;ПавлАвт ао;Павловский автобус ПАО ао;Акции обыкновенные;RU0009083240;1-02-00261-A;3;415;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.12.2011;"Публичное акционерное общество ""Павловский автобус""";5252000350;1
PFE-RM;Pfizer;PFIZER INC.;Иностранные акции;US7170811035;;3;0,05;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;17.09.2018;PFIZER INC.;;1
PHOR;ФосАгро ао;ФосАгро ПАО ао;Акции обыкновенные;RU000A0JRKT8;1-02-06556-A;1;2,5;RUB;TQBR;Т+: Акции и ДР - безадрес.;18.07.2011;"Публичное акционерное общество ""ФосАгро""";7736216869;1
PIKK;ПИК ао;Группа компания ПИК ПАО ао;Акции обыкновенные;RU000A0JP7J7;1-02-01556-A;1;62,5;RUB;TQBR;Т+: Акции и ДР - безадрес.;13.06.2007;"Публичное акционерное общество ""Группа Компаний ПИК""";7713011336;10
PLZL;Полюс;Полюс ПАО ао;Акции обыкновенные;RU000A0JNAA8;1-01-55192-E;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.05.2006;"Публичное акционерное общество ""Полюс""";7703389295;1
PMSB;ПермьЭнСб;"""Пермэнергосбыт"" ПАО ао";Акции обыкновенные;RU000A0ET123;1-01-55084-E;3;3,25;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.02.2006;"Публичное акционерное общество ""Пермская энергосбытовая компания""";5904123809;10
PMSBP;ПермьЭнС-п;"""Пермэнергосбыт"" ПАО ап";Акции привилегированные;RU000A0ET156;2-01-55084-E;3;3,25;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.02.2006;"Публичное акционерное общество ""Пермская энергосбытовая компания""";5904123809;10
POGR;Petropavl;Petropavlovsk PLC;Иностранные акции;GB0031544546;;1;0,01;GBP;TQBR;Т+: Акции и ДР - безадрес.;25.06.2020;Petropavlovsk PLC;;100
POLY;Polymetal;Polymetal International plc;Иностранные акции;JE00B6T5S470;;1;0;GBP;TQBR;Т+: Акции и ДР - безадрес.;17.06.2013;Полиметалл Интернэшнл плс (Polymetal International plc);10033331;1
PRMB;Приморье;"АКБ ""Приморье"" ао";Акции обыкновенные;RU000A0DPNQ5;10103001B;3;1000;RUB;TQBR;Т+: Акции и ДР - безадрес.;03.05.2011;"акционерный коммерческий банк ""Приморье""  (публичное акционерное общество)";2536020789;1
PRTK;ПРОТЕК ао;ПРОТЕК (ПАО) ао;Акции обыкновенные;RU000A0JQU47;1-02-07615-A;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;27.04.2010;"Публичное акционерное общество ""ПРОТЕК""";7715354473;10
QIWI;iQIWI;QIWI PLC;DR на иностранные акции;US74735M1080;;1;0;USD;TQBR;Т+: Акции и ДР - безадрес.;08.10.2013;КИВИ ПиЭлСи (QIWI PLC);1000000000;1
RASP;Распадская;ПАО Распадская ао;Акции обыкновенные;RU000A0B90N8;1-04-21725-N;2;0,004;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.11.2006;"Публичное акционерное общество ""Распадская""";4214002316;10
RAVN;Raven;Raven Property Group Limited;Иностранные акции;GB00B0D5V538;;3;0,01;GBP;TQBR;Т+: Акции и ДР - безадрес.;03.10.2018;Raven Property group Limited;43371;100
RBCM;РБК ао;РБК ПАО ао;Акции обыкновенные;RU000A0JR6A6;1-02-56413-H;3;0,00064;RUB;TQBR;Т+: Акции и ДР - безадрес.;19.01.2011;"Публичное акционерное общество ""РБК""";7728547955;100
RDRB;РДБанк ао;РоссийскийДорож Банк ПАО ао;Акции обыкновенные;RU000A0JU6Q7;10201573B;3;124;RUB;TQBR;Т+: Акции и ДР - безадрес.;31.10.2013;"""Российский акционерный коммерческий дорожный банк"" (публичное акционерное общество)";7718011918;10
RGSS;РГС СК ао;Росгосстрах СК ПАО ао;Акции обыкновенные;RU0008010855;1-03-10003-Z;3;0,04;RUB;TQBR;Т+: Акции и ДР - безадрес.;19.11.2013;"Публичное акционерное общество Страховая Компания ""Росгосстрах""";7707067683;1000
RKKE;ЭнергияРКК;РКК Энергия им.С.П.Королева ао;Акции обыкновенные;RU0009095939;1-03-01091-A;3;1000;RUB;TQBR;Т+: Акции и ДР - безадрес.;29.05.2008;"Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва""";5018033937;1
RLMN;Роллман;Группа Компаний Роллман ПАО ао;Акции обыкновенные;RU000A0JTAP3;1-01-05257-D;3;100;RUB;TQBR;Т+: Акции и ДР - безадрес.;19.12.2012;"Публичное акционерное общество ""Группа Компаний  ""Роллман""";7841445498;10
RLMNP;Роллман-п;Группа Компаний Роллман ПАО ап;Акции привилегированные;RU000A0JU229;2-01-05257-D;3;100;RUB;TQBR;Т+: Акции и ДР - безадрес.;05.05.2014;"Публичное акционерное общество ""Группа Компаний  ""Роллман""";7841445498;10
RNFT;РуссНфт ао;РуссНефть НК ПАО ао;Акции обыкновенные;RU000A0JSE60;1-02-39134-H;1;0,5;RUB;TQBR;Т+: Акции и ДР - безадрес.;18.11.2016;"Публичное акционерное общество Нефтегазовая компания ""РуссНефть""";7717133960;1
ROLO;Русолово;"""Русолово"" ПАО ао";Акции обыкновенные;RU000A0JU1B0;1-01-15065-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.08.2013;"Публичное акционерное общество ""Русолово""";7706774915;1000
ROSB;Росбанк ао;РОСБАНК ПАО ао;Акции обыкновенные;RU000A0HHK26;10102272B;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;30.01.2006;Публичное акционерное общество РОСБАНК;7730060164;10
ROSN;Роснефть;ПАО НК Роснефть;Акции обыкновенные;RU000A0J2Q06;1-02-00122-A;1;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;19.07.2006;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;10
ROST;РОСИНТЕРао;РОСИНТЕР РЕСТОРАНТС (ПАО);Акции обыкновенные;RU000A0JP922;1-02-55033-E;3;169,7;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.08.2008;"Публичное акционерное общество ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ""";7722514880;10
RSTI;Россети ао;"""Российские сети"" ПАО ао";Акции обыкновенные;RU000A0JPVJ0;1-01-55385-E;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;06.01.2014;"Публичное акционерное общество ""Российские сети""";7728662669;1000
RSTIP;Россети ап;"""Российские сети"" ПАО ап";Акции привилегированные;RU000A0JPVK8;2-01-55385-E;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;06.01.2014;"Публичное акционерное общество ""Российские сети""";7728662669;1000
RTGZ;ГазпРнД ао;Газпром газорасп Р-н-Д ПАО ао;Акции обыкновенные;RU000A0JPG04;1-02-30742-E;3;2000;RUB;TQBR;Т+: Акции и ДР - безадрес.;07.11.2012;"Публичное акционерное общество ""Газпром газораспределение Ростов-на-Дону""";6163000368;1
RTKM;Ростел -ао;Ростелеком (ПАО) ао.;Акции обыкновенные;RU0008943394;1-01-00124-A;1;0,0025;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Ростелеком""";7707049388;10
RTKMP;Ростел -ап;Ростелеком (ПАО) ап.;Акции привилегированные;RU0009046700;2-01-00124-A;1;0,0025;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Ростелеком""";7707049388;10
RTSB;ТНСэнРст;ТНС энерго Ростов. ПАО ао;Акции обыкновенные;RU000A0D8PB4;1-01-50095-A;3;0,02;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.12.2005;"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""";6168002922;10000
RTSBP;ТНСэнРст-п;ТНС энерго Ростов. ПАО ап;Акции привилегированные;RU000A0D8PC2;2-01-50095-A;3;0,02;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.12.2005;"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""";6168002922;10000
RUAL;RUSAL plc;United Company RUSAL Plc;Иностранные акции;JE00B5BCW814;;1;0,01;USD;TQBR;Т+: Акции и ДР - безадрес.;30.03.2015;Юнайтед Компани РУСАЛ Плс (United Company RUSAL Plc);10035101;10
RUGR;Русгрэйн;Русгрэйн Холдинг ПАО ао;Акции обыкновенные;RU000A0JPNP4;1-02-50043-H;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;13.08.2010;"Публичное акционерное общество ""Русгрэйн Холдинг""";7706533405;10
RUSI;ИКРУСС-ИНВ;РУСС-ИНВЕСТ ИК ПАО ао;Акции обыкновенные;RU000A0JQ9W5;1-01-00409-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;23.11.2011;"Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ""";7704081545;100
RUSP;Русполимет;Русполимет ПАО ао;Акции обыкновенные;RU000A0JNH21;1-01-55157-E;3;0,03;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.08.2008;"Публичное акционерное общество ""Русполимет""";5251008501;10000
RZSB;РязЭнСб;"""Рязанская энергосб.комп"" ПАО";Акции обыкновенные;RU000A0D9AF5;1-01-50092-A;3;0,05;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.09.2005;"Публичное акционерное общество ""Рязанская энергетическая сбытовая компания""";6229049014;1000
SAGO;СамарЭн-ао;Самараэнерго (ПАО) - ао;Акции обыкновенные;RU0009098255;1-02-00127-A;3;0,25;RUB;TQBR;Т+: Акции и ДР - безадрес.;21.07.2003;"Публичное акционерное общество энергетики и электрификации ""Самараэнерго""";6315222985;10000
SAGOP;СамарЭн-ап;Самараэнерго (ПАО) - ап;Акции привилегированные;RU0009084495;2-02-00127-A;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;21.07.2003;"Публичное акционерное общество энергетики и электрификации ""Самараэнерго""";6315222985;10000
SARE;СаратЭн-ао;Саратовэнерго(ПАО)-ао;Акции обыкновенные;RU0009100754;1-02-00132-A;3;0,02;RUB;TQBR;Т+: Акции и ДР - безадрес.;24.11.2011;"Публичное акционерное общество ""Саратовэнерго""";6450014808;10000
SAREP;СаратЭн-ап;Саратовэнерго(ПАО)-ап;Акции привилегированные;RU0009100762;2-02-00132-A;3;0,02113;RUB;TQBR;Т+: Акции и ДР - безадрес.;24.11.2011;"Публичное акционерное общество ""Саратовэнерго""";6450014808;10000
